,route_id,office_from_id
0,29,4
4342,65,10
8684,191,33
13026,558,12
17368,222,24
21710,293,43
26052,730,12
30394,938,10
34736,243,39
39078,442,12
43420,705,50
47762,720,33
52104,19,10
56446,296,22
60788,287,25
65130,415,24
69472,155,12
73814,299,29
78156,385,11
82498,237,45
86840,241,42
91182,602,35
95524,857,1
99866,22,29
104208,198,7
108550,330,22
112892,130,25
117234,196,22
121576,486,41
125918,487,33
130260,823,18
134602,7,24
138944,77,26
143286,34,37
147628,532,42
151970,939,36
156312,188,29
160654,399,25
164996,202,3
169338,529,37
173680,844,53
178022,262,29
182364,325,29
186706,406,20
191048,624,13
195390,998,22
199732,691,42
204074,734,41
208416,421,3
212758,264,13
217100,650,21
221442,110,33
225784,190,14
230126,343,22
234468,439,23
238810,629,6
243152,513,12
247494,936,34
251836,963,43
256178,43,40
260520,420,30
264862,555,6
269204,696,21
273546,752,25
277888,84,22
282230,779,12
286572,970,37
290914,31,28
295256,376,22
299598,516,41
303940,119,3
308282,326,36
312624,386,20
316966,596,22
321308,496,1
325650,232,25
329992,773,46
334334,966,18
338676,145,33
343018,814,2
347360,880,19
351702,124,39
356044,181,21
360386,586,7
364728,843,25
369070,852,3
373412,227,43
377754,268,34
382096,589,25
386438,699,10
390780,369,23
395122,455,26
399464,915,7
403806,71,47
408148,370,39
412490,642,4
416832,703,18
421174,790,53
425516,161,41
429858,443,12
434200,68,23
438542,342,37
442884,72,42
447226,215,39
451568,258,13
455910,665,33
460252,883,12
464594,221,36
468936,271,48
473278,882,53
477620,997,46
481962,9,17
486304,316,49
490646,407,39
494988,554,10
499330,744,43
503672,789,24
508014,897,28
512356,920,20
516698,63,43
521040,389,12
525382,397,51
529724,856,29
534066,933,41
538408,234,10
542750,239,21
547092,341,33
551434,891,29
555776,279,41
560118,146,48
564460,608,22
568802,459,22
573144,577,15
577486,861,24
581828,174,22
586170,825,13
590512,79,12
594854,209,3
599196,103,33
603538,253,36
607880,276,13
612222,509,13
616564,592,12
620906,246,21
625248,226,1
629590,242,10
633932,453,38
638274,977,39
642616,41,29
646958,28,40
651300,33,1
655642,208,33
659984,248,6
664326,405,41
668668,519,28
673010,138,25
677352,498,28
681694,637,8
686036,235,46
690378,307,36
694720,462,13
699062,649,22
703404,769,25
707746,813,45
712088,865,10
716430,114,13
720772,434,13
725114,599,1
729456,928,39
733798,900,12
738140,319,49
742482,539,11
746824,901,24
751166,250,53
755508,743,19
759850,929,41
764192,328,44
768534,185,36
772876,219,13
777218,515,10
781560,834,12
785902,944,7
790244,978,24
794586,449,43
798928,538,25
803270,874,15
807612,10,12
811954,423,10
816296,748,42
820638,836,46
824980,945,25
829322,89,12
833664,550,48
838006,361,52
842348,364,39
846690,501,33
851032,403,21
855374,490,13
859716,741,21
864058,975,3
868400,128,1
872742,464,9
877084,497,12
881426,838,36
885768,911,18
890110,106,40
894452,111,3
898794,815,37
903136,867,7
907478,301,28
911820,548,22
916162,460,46
920504,441,13
